,comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies
10,387298903446238,https://facebook.com/387298903446238,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfapbjZkjQX_MU4ASZu0btrxX9pQW8VnHx7xcLhq7O2vQd-_zEOYYUyxzDbKLOpNy5Y,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285405045_538343811160635_3358000261702742410_n.jpg?stp=cp0_dst-jpg_e15_q65_s180x540&_nc_cat=106&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=9NEnZ07mAWEAX-Kn0Ce&tn=-B_DPogsAKeJprI3&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT_y3xZa7k21utxvG9I44fw2P2dUILdnvta3GCuje-slIQ&oe=631F80ED,[],,,[]
11,387298893446239,https://facebook.com/387298893446239,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfY4C8-4BzZ-fcrVmxzpfG9aZaLepUtR7ehXIykmbhMgtnvLu9cnmgeI_Ug-Sm5Qyzw,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285460563_538343754493974_5102241960854382301_n.jpg?stp=cp0_dst-jpg_e15_q65_s180x540&_nc_cat=101&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=HGczMeRsBSsAX_fUkoR&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT_PehqTNx1TsgWPme9wH7IiZIS_zZuPB1Ls-1jLypAzeg&oe=631E8583,[],,,[]
12,387298873446241,https://facebook.com/387298873446241,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfbBUBAMJ2WVf4tRwBq9EN5XkDjxnd2qStUJT9KEir1VBZgiuIlB17-1Th5yWoiPEwE,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285439679_538343714493978_9218135111611720171_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=107&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=9q0RWDkNlXcAX89AUC7&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT-X3IPeh8tBpKNSdNrMFIrfzoETi_XGkVzoKSroCqWdEA&oe=631E3727,[],,,[]
13,387298846779577,https://facebook.com/387298846779577,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfanR-kRjQOcsyqoWAUFdDx4HACDA0iqWhsop4weuWRW4dPIcF5x8XrMkR9alc79kTc,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285562214_538343657827317_8688054444342240266_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=104&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=cXimTeslKbgAX_LD5BM&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT-OYvoSK8wLKAV3pL9bW-d81aLFnBfn6E5VHqvKP_hDZQ&oe=631E427D,[],,,[]
14,387298826779579,https://facebook.com/387298826779579,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=Afai8KoSv7fz4EDbvVWISvHzHs8vuW2eSu5YLfkvOZOpthdPWYBydhFTLhiYI7a6Mkc,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285546655_538343584493991_8494575410156652786_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=100&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=_jeoYxdKjaAAX-Y_inX&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT8aHIZpD3GwiWSx4D3UPAgXsN7NeeY6Otfq8luHegOMqw&oe=631ED6E8,[],,,[]
15,387298776779584,https://facebook.com/387298776779584,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfYBhCU7XPm_K3XInupYkw7ntX0QnVYRN0oQ0CMTPZlNI5wIdKDPgNA-uIwe1CGLSFI,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285489291_538343517827331_6777702607905894967_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=101&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=L7f0M1uyWn0AX88_qk_&tn=-B_DPogsAKeJprI3&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT-JKgI8zlu_T40YyrnUaXbmZ_2l7s_Q5bHcRy1vlroU9Q&oe=631F5176,[],,,[]
16,387298750112920,https://facebook.com/387298750112920,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfYPUcxOiIldtWdzYVXm7rFqgX71Ux1sn9rVMHsTHBSAQt2Bj22-hgecR-tlNm32ER8,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/284059385_538343477827335_1058205746108768662_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=106&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=kK8_9r1TBtsAX-1mhb-&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT9KcodRlQrwiimALkdxSE-xIfyNuDQsJvtovoCDf9zwxA&oe=631EC468,[],,,[]
17,387298706779591,https://facebook.com/387298706779591,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfYrEIZLSUvu8rits36MC-ErehpyLPIzQgXIh-9UxoRztUBKkzFi4Zvga1xTxyGIzc4,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285484770_538343424494007_1317074748173388966_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=110&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=QyWezxE4f1wAX_HbCJq&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT_AnAZia7tld7CC_hL1_oZjOOLs7bL1Q7VbLSuuGnQFEQ&oe=631E86D2,[],,,[]
18,387298680112927,https://facebook.com/387298680112927,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfbOISVNnwRBUjwE6spo8Ot22s1iaxBLFNqYsvhgRV1bgbfJq50Vh7rV1T1FkSOGyLo,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285450724_538343357827347_4873388863120681821_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=109&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=ibOHFZfpf5cAX8Vtgya&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT8MFQw12CknFKEX5khYPL6VZJSEDQ0i-DxcfZhdq1imtg&oe=631E8F49,[],,,[]
19,387298653446263,https://facebook.com/387298653446263,103108344684186,https://facebook.com/ESENEDUCATION/?rc=p&refid=18&__tn__=%7ER&paipv=0&eav=AfYAJu2nCsAcHo9m1ikH6agZE_yc87_1QrUq4y8znlgbWcIJDdOlw5hM2ACYXAsFRMA,เรียนต่ออีสาน - ภารโรงสเตชั่น,,เรียนต่ออีสาน - ภารโรงสเตชั่น,2022-06-09,https://scontent.fkkc3-1.fna.fbcdn.net/v/t39.30808-6/285463260_538343317827351_838668751566018830_n.jpg?stp=cp0_dst-jpg_e15_p130x130_q65&_nc_cat=104&ccb=1-7&_nc_sid=1480c5&efg=eyJpIjoidCJ9&_nc_ohc=P4heUWZPscIAX-PyG52&_nc_ht=scontent.fkkc3-1.fna&oh=00_AT_eYXpb46cYJBsbR_ygznB7nHEwtfTrsCuodn9BhqMnlg&oe=631FBDBD,[],,,[]
