Name,Comment,Time,Likes,Reply Count
นศ.ภ.ไข่ขี้เกียจ,พี่ๆถ่ายคลิปสวยมากค่าาา ที่เห็นคณะอยู่ใกล้ๆกัน จริงตึกสายสุขภาพแทบจะเชื่อมกันหมดเลย เช่น ตึก 1 เภสัช ด้านซ้ายเชื่อมตึกเทคนิกฯ ด้านขวาเชื่อมตึกแพทย์ ข้ามสะพานลอยมาเชื่อมตึก 2 เภสัช จะมีแค่สัตวแพทย์ที่แยกตัวออกไปอยู่แถวๆศาลเจ้าพ่อมอค่า,2022-06-16T00:53:02Z,5,0
Panya Saekim,มาคราวหน้าอย่าลืมแวะไปที่ศูนย์ประชุมกาญจนาภิเษก ตรงนั้นหน้าหนาวจะมีนกเป็ดน้ำด้วยครับ,2022-06-15T18:34:55Z,7,0
TaranGsunset,อยากไปปีหน้าละกันตอนนี้มา มมส 😂,2022-06-15T14:39:15Z,1,0
อยากนอนมากครับ,เด็กต่างจังหวัดแถวอีสานมีโอกาสสอบติด ม.เกษตร คณะวิศวะคอมไหมครับ,2022-06-15T14:31:04Z,1,0
Ant Ant,"ดูแล้วคิดถึงมข มากๆลยครับ
หอพักใหม่ๆ ทันสมัย +ติดแอร์ ของ มข อยู่อีกโซนนึงนะครับ คือ หอ9หลัง หอ8หลังและหอInter",2022-06-15T06:44:28Z,7,0
Juju Padtaraporn,พาไปทัวร์ ม.เกษตร กำเเพงเเสนหน่อยค่าาา,2022-06-14T17:22:32Z,0,0
captainper,ขอ มศว ด้วยค้าบ,2022-06-14T14:04:26Z,5,0
Suphattra,พาทัวร์ม.บูรพาหน่อยค่า,2022-06-14T13:33:59Z,1,0
จิตรเกษม แสงสืบ,ช่วยรีวิวราชภัฏบ้านสมเด็จเจ้าพระยาหน่อยได้ไหมครับ🥺,2022-06-14T12:44:17Z,1,0
Papawarin Jantalok,เดินทัวร์มาแล้ว…ปวดขามาก แต่สนุก😃,2022-06-14T12:41:17Z,4,0
MN Mewnich,เคยไปวันวิทย์ตอนม.2กับตอนม.3 โคตรใหญ่ ผมเดินจนเท้าขาวเลย555,2022-06-14T12:29:44Z,1,0
เดโชพล ตราบดี,พาทัว มช,2022-06-14T11:22:03Z,2,0
Ban4kK,พาทัว เกษตร หน่อยคร้าบ,2022-06-14T11:18:26Z,1,0
Reality Progressive,"ผมดูแล้วอยากย้ายมอมาอยู่ มข. เลยครับ
ผมเรียนอยู่ ม.เกษตรสกลนคร ครับ
ผมได้ไปเที่ยว ม.ขอนแก่น ช่วงวันหยุดเข้าพรรษา 5 วัน 4 คืน มาครับ
ม.ขอนแก่นเจริญมากเลยครับ ไม่เหมือน ม.ผมเลยครับ ม.ผมไม่มีอะไรให้ทำเลย ตลาดก็ไม่มีครับ
กลางคืนไปกางเต้นท์นอนในสวนยาง ถนนศรีฐานครับ 

และมีป่าเยอะให้ผมได้มีที่กางเต็นท์ได้ด้วยครับ",2022-07-21T16:29:57Z,0,0
